2017-01-23 16:17:59
Tag: 傅雷
The number of books: 138 

ID, rating, votes, title
4908885, 9.0, 20101, 局外人
1186392, 8.7, 8785, 约翰·克利斯朵夫
1031741, 7.8, 23721, 欧也妮·葛朗台
1047719, 8.5, 5616, 傅雷家书
1005915, 8.8, 1515, 艺术哲学
2281861, 9.0, 1155, 世说新语
1076426, 8.8, 1086, 世界美术名作二十讲
1100783, 9.0, 708, 约翰·克里斯托夫
1592800, 9.6, 308, 三国演义
1033449, 8.6, 662, 巨人三传
1045934, 8.7, 455, 幻灭
1020207, 8.7, 429, 贝多芬传（插图珍藏本）
2266339, 8.8, 377, 贝多芬传
1100157, 7.7, 1168, 欧也妮·葛朗台
4606351, 9.1, 235, 傅雷谈艺录
1038594, 8.5, 386, 罗丹艺术论
1001432, 9.0, 207, 傅译传记五种
1903578, 8.4, 321, 人生五大问题
1069249, 8.2, 382, 卓别林自传
1046584, 8.5, 277, 米开朗琪罗传
1022210, 8.3, 310, 贝姨
1438056, 8.2, 312, 傅雷谈音乐
1547466, 8.3, 276, 欧也妮·葛朗台 高老头
1072021, 8.2, 288, 傅聪：望七了！
1033034, 8.3, 257, 与傅聪谈音乐
6998611, 9.1, 129, 艺术哲学
1949574, 9.5, 94, 约翰·克利斯朵夫（上下）
1063493, 8.8, 154, 嘉尔曼 高龙巴
1202182, 8.9, 141, 约翰·克利斯朵夫（上下）
1894765, 8.1, 273, 欧也妮.葛朗台（高中部分）
1084720, 9.8, 65, 傅雷全集
1084208, 8.7, 129, 邦斯舅舅
1596320, 9.6, 66, 傅雷译文集
1443778, 8.5, 138, 艺术哲学
4891534, 8.5, 136, 傅雷书信选
1881213, 8.1, 185, 傅雷谈翻译
1440168, 8.2, 154, 傅雷谈美术
1935991, 8.6, 108, 傅雷与傅聪谈音乐
3091169, 8.6, 104, 嘉尔曼
1910267, 9.0, 77, 傅雷文集
1737239, 9.6, 52, 傅雷译罗曼·罗兰名作集
1024077, 9.4, 56, 人间喜剧(第五卷)
1916476, 8.5, 102, 伏尔泰小说选
1692260, 9.3, 58, 傅雷译巴尔扎克名作集（全六册）
3023649, 9.2, 61, 夏倍上校
24526221, 7.4, 262, 蚁呓
3023704, 8.6, 85, 搅水女人
6515859, 9.5, 48, 傅译巴尔扎克代表作1
25806269, 8.6, 75, 恋爱与牺牲
1084204, 8.2, 91, 老实人
3032760, 7.8, 126, 明报·大家大讲堂
1027860, 8.3, 83, 傅雷经典作品选
1016472, 8.6, 62, 傅雷书简
1337741, 8.5, 65, 傅雷谈美术
1084210, 8.3, 74, 恋爱与牺牲
1801417, 8.2, 74, 罗丹论艺术
2250080, 7.9, 92, 生活的智慧
1910259, 8.6, 49, 傅雷文集（文艺卷）
1032702, 9.0, 38, 傅雷艺术随笔
1274536, 8.8, 42, 欧也妮.葛朗台古物陈列室
1337740, 8.2, 62, 傅雷谈音乐
1063615, 8.0, 72, 贝多芬传（罗曼.罗兰著)
1232992, 7.9, 73, 托尔斯泰传
1084203, 8.2, 58, 夏倍上校
2266345, 8.9, 37, 都尔的本堂神甫·比哀兰德
1059434, 8.9, 34, 傅雷文集-书信卷(上下)
2087612, 8.7, 38, 赛查·皮罗多盛衰记
6802000, 8.6, 40, 艺术品的本质
1313272, 7.7, 75, 傅雷谈翻译
6515860, 9.2, 28, 傅译巴尔扎克代表作2
6515861, 9.6, 23, 傅译巴尔扎克代表作3
1084209, 9.1, 29, 贝姨
6803868, 8.3, 45, 意大利文艺复兴时期的绘画
10733127, 8.4, 42, 巨人三传
24716117, 8.2, 47, 译者的尴尬
4061892, 8.9, 30, 夏洛外传
1737185, 8.6, 34, 傅雷译梅里美/服尔德名作集
1291606, 8.4, 38, 走出家书
1657484, 8.3, 39, 高龙巴
6129284, 7.4, 74, 宪益舅舅的最后十年
1320326, 7.8, 52, 傅雷画传
1692124, 9.0, 25, 傅雷译莫罗阿名作集
1008638, 8.7, 28, 傅雷文集-艺术卷
6803866, 8.3, 35, 希腊的雕塑
5397461, 8.5, 31, 听傅雷谈艺术
3023479, 8.7, 27, 贝姨
3194257, 8.1, 38, 欧也妮.葛朗台 高老头
26817324, 9.4, 19, 傅雷家书
1034495, 7.4, 60, 傅雷与傅聪
3300188, 7.5, 55, 人生五大问题
1222789, 8.5, 27, 赛查·皮罗多盛衰记
1011678, 8.4, 28, 傅雷文集-文学卷
21318644, 7.8, 40, 贝多芬传
6801995, 8.2, 30, 尼德兰的绘画
2266344, 8.2, 29, 查第格
3188486, 8.1, 29, 高龙巴
1453063, 8.2, 26, 吃馬鈴薯的日子
1213231, 7.8, 33, 搅水女人
26230250, 8.3, 24, 翻译似临画
26900311, 9.1, 16, 世界美术名作二十讲
1004729, 8.4, 22, 文明
21334843, 8.2, 24, 米开朗琪罗传
6803892, 8.7, 18, 艺术中的理想
2266342, 7.9, 27, 于絮尔·弥罗埃
1278857, 7.7, 29, 傅雷:那远逝的雷火灵魂
3465446, 7.8, 26, 傅雷传
1026614, 7.8, 25, 傅雷别传
1367387, 8.1, 21, 傅雷家書
3136030, 6.9, 46, 听傅雷讲艺术
1398163, 7.3, 33, 傅雷的最后17年
1368393, 7.9, 22, 傅雷音樂講堂－認識古典音樂.
1947441, 7.2, 31, 我听傅雷讲艺术
1941847, 8.0, 18, 约翰·克利斯朵夫（全四册）
25975675, 8.1, 17, 傅雷家书全编（1954-1966）
3921773, 8.3, 15, 傅译传记五种
1023012, 7.9, 18, 傅雷与他的世界
1048406, 7.8, 18, 傅雷散文
26640956, 8.0, 16, 傅雷家书
4902489, 6.5, 45, 解读傅雷一家
10558366, 7.8, 17, 傅雷艺术随笔
1820628, 7.5, 20, 傅雷家书-世界文学名著
5341537, 7.9, 16, 傅雷家书
4187935, 7.7, 17, 傅雷家书
3921779, 7.7, 16, 世界美术名作二十讲
1052679, 7.3, 19, 傅雷传
3178938, 7.6, 15, 人生的开端 卡迪央王妃的秘密
5362331, 7.6, 14, 傅雷文集（套装全4册）
1975320, 8.0, 11, 高老头
1368392, 7.9, 11, 傅雷美術講堂－世界美術名作二十講與中國.畫
2972505, 8.1, 10, 傅雷译文集（第十四卷）
4840400, 8.1, 10, 傅雷译文集（第七卷）
1099473, 7.8, 11, 弥盖朗琪罗传
5327998, 7.6, 12, 铁骨傅雷
26263620, 7.7, 11, 傅雷家书插图版
3250859, 7.6, 11, 邦斯舅舅
1476055, 7.8, 10, 世界美术名作二十讲/人人袖珍文库
1914016, 7.3, 12, 江声浩荡话傅雷
3064088, 7.5, 10, 走进傅雷的翻译世界
